Aor_ID,Aee_ID,Q_ID,Answer
46473,46564,46401,"- VÄGA hea huumorimeelega
 - Õiglane
 - Aus"
46557,46548,46546,"(Kommenteerin üldiselt, konkreetseid situatsioone ei oska kirjeldada.) Sul on imetlusväärne oskus tekitada inimestes tunne, et nad on tublid ja väärtuslikud."
46557,46548,46545,"(Kommenteerin üldiselt, konkreetseid situatsioone ei oska kirjeldada.) Sul on oskus vahetu ja lihtne olla. Sul on äärmiselt palju kogemusi ja teadmisi, aga puudub edevus. Täielikult."
46557,46548,46544,"(Kommenteerin üldiselt, konkreetseid situatsioone ei oska kirjeldada.) Väga meeldiv on see, kui täpselt ja selgelt sa räägid (ja kirjutad)."
46557,46566,46545,"(Kuna situatsioonide kogemusi on vähe, kommenteerin üldiselt) Oled äärmiselt põhjalik ja tegevused on igast küljest läbimõeldud, ja varakult."
46557,46549,46546,"(Kuna situatsioonide kogemusi on vähe, kommenteerin üldiselt) Oled korralik multi-taskija."
46557,46549,46544,"(Kuna situatsioonide kogemusi on vähe, kommenteerin üldiselt) Oled vintske ega anna alla."
46557,46566,46544,"(Kuna situatsioonide kogemusi on vähe, kommenteerin üldiselt) Sinust õhkub kogemust ja teadmisi. Selline tunne on, et näed horisondist kaugemale ja tead, mis tuleb."
46557,46549,46545,"(Kuna situatsioonide kogemusi on vähe, kommenteerin üldiselt) Sul on väga hea suuline väljendusoskus, sinu rääkimist on huvitav jälgida."
46557,46566,46546,"(Kuna situatsioonide kogemusi on vähe, kommenteerin üldiselt) Tundub, et oled loomult väga pühenduv, maksimalist. Kõik, mida teed, teed perfektselt."
46443,46564,46401,"1. emotsionaalne
2. arvestav
3. meeskondlik"
46524,46562,46400,"1. Mõnes olukorras olema vähem emotsionaalne ja kuulama ära rahulikult ning sekkumata.ka teise osapoole.
2. Mari peaks lubama endale rohkem puhkust. Elu ei koosne ainult tööst! :)"
46549,46572,46401,"1) Habras, naiselik, kuid samas erakordselt jõuline
2) Särava karismaga
3) Ehe, aus ja siiras
4) Tarmukas
5) Vaimukas
6) Hooliv
7) Rõõmsameelne
8) Emotsionaalselt ja sotsiaalselt intelligentne"
46549,46564,46401,"1) Hea huumorimeelega
2) Loominguline
3) Positiivne"
46549,46563,46401,"1) Positiivne
2) Siiras, otsekohene
3) Hooliv
4) Entusiastlik
5) Hea huumorimeelega"
46549,46549,46401,"1) Rõõmsameelne ja positiivne
2) Pühendunud
3) Järjekindel"
46549,46489,46401,"1) Tugeva tahtejõuga
2) Enesekindel
3) Emotsionaalne"
46473,46564,46862,100% Alati!
46473,46564,46384,100% ning võtab ka lõppvastutuse ebapopulaarse otsuse tegemise eest enda peale
46460,46552,46393,"Aasta tagasi märkasin, et oled hakanud rohkem delegeerima. Näiteks: uusi müüjaid värbavad müügijuhid ise ja neid abistab Merlin, enne juhtisid ise ringvestlusi ja kogu värbamisprotsessi. Mulle see meeldib!"
46486,46571,46401,"Abivalmis, laia silmaringiga/tark, konkreetne."
46551,46556,46401,"abivalmis, taibukas,arutlev, alalhoidlik"
46566,46552,46545,"Abivalmis, temale võib kindel olla"
46450,46548,46401,"Abivalmis, toetav, positiivne"
46548,46559,46546,"Abivalmis. Ajakirjanikud on öelnud, et nad saavad Kristilt alati abi ja see abi on tõhus. Ta lahendab probleemid kiiresti, ei venita lahendamistega"
46560,46566,46546,"Abivalmis. Julgen alati minna Raini juurde nõu küsima, sest tean, et ta leiab aega ja tahtmist kaasa mõelda ja nõu anda. Aitäh!"
